ob_above_pip_1m,ob_above_thickness_pip_1m,ob_below_pip_1m,ob_below_thickness_pip_1m,fvg_above_pip_1m,fvg_above_size_pip_1m,fvg_below_pip_1m,fvg_below_size_pip_1m,fib_0_pip_1m,fib_236_pip_1m,fib_382_pip_1m,fib_500_pip_1m,fib_618_pip_1m,fib_786_pip_1m,fib_1000_pip_1m,vwap_pip_1m,vwap_u1_pip_1m,vwap_l1_pip_1m,vwap_u2_pip_1m,vwap_l2_pip_1m,vwap_band1_thickness_pip_1m,vwap_band2_thickness_pip_1m,vp_poc_pip_1m,vp_vah_pip_1m,vp_val_pip_1m,vp_va_thickness_pip_1m,mtf_pdh_pip_1m,mtf_pdl_pip_1m,mtf_pwh_pip_1m,mtf_pwl_pip_1m,structure_above_pip_1m,structure_above_kind_1m,structure_below_pip_1m,structure_below_kind_1m,eq_above_pip_1m,eq_above_kind_1m,eq_below_pip_1m,eq_below_kind_1m,ob_above_pip_10m,ob_above_thickness_pip_10m,ob_below_pip_10m,ob_below_thickness_pip_10m,fvg_above_pip_10m,fvg_above_size_pip_10m,fvg_below_pip_10m,fvg_below_size_pip_10m,fib_0_pip_10m,fib_236_pip_10m,fib_382_pip_10m,fib_500_pip_10m,fib_618_pip_10m,fib_786_pip_10m,fib_1000_pip_10m,vwap_pip_10m,vwap_u1_pip_10m,vwap_l1_pip_10m,vwap_u2_pip_10m,vwap_l2_pip_10m,vwap_band1_thickness_pip_10m,vwap_band2_thickness_pip_10m,vp_poc_pip_10m,vp_vah_pip_10m,vp_val_pip_10m,vp_va_thickness_pip_10m,mtf_pdh_pip_10m,mtf_pdl_pip_10m,mtf_pwh_pip_10m,mtf_pwl_pip_10m,structure_above_pip_10m,structure_above_kind_10m,structure_below_pip_10m,structure_below_kind_10m,eq_above_pip_10m,eq_above_kind_10m,eq_below_pip_10m,eq_below_kind_10m,ob_above_pip_1h,ob_above_thickness_pip_1h,ob_below_pip_1h,ob_below_thickness_pip_1h,fvg_above_pip_1h,fvg_above_size_pip_1h,fvg_below_pip_1h,fvg_below_size_pip_1h,fib_0_pip_1h,fib_236_pip_1h,fib_382_pip_1h,fib_500_pip_1h,fib_618_pip_1h,fib_786_pip_1h,fib_1000_pip_1h,vwap_pip_1h,vwap_u1_pip_1h,vwap_l1_pip_1h,vwap_u2_pip_1h,vwap_l2_pip_1h,vwap_band1_thickness_pip_1h,vwap_band2_thickness_pip_1h,vp_poc_pip_1h,vp_vah_pip_1h,vp_val_pip_1h,vp_va_thickness_pip_1h,mtf_pdh_pip_1h,mtf_pdl_pip_1h,mtf_pwh_pip_1h,mtf_pwl_pip_1h,structure_above_pip_1h,structure_above_kind_1h,structure_below_pip_1h,structure_below_kind_1h,eq_above_pip_1h,eq_above_kind_1h,eq_below_pip_1h,eq_below_kind_1h,atr_1m,volume_1m,ema9_volume_1m,trails_3m,trails_5m,trails_10m,trails_15m
,,277.333333333328,38,,,153.833333333328,17,565.333333333328,524.741333333324,499.629333333331,479.333333333328,459.037333333326,430.141333333333,393.333333333328,277.984051114443,79.5461652669037,476.421936961982,118.891720580636,674.859822809522,396.875771695085,793.75154339017,39.8133333332808,14.3466666667082,459.553333333315,473.900000000023,25526.6666666667,24782.6666666667,25710.6666666667,20406.6666666667,,NONE,-236.333333333328,BOS,,NONE,,NONE,,,489.833333333328,83,,,145.333333333328,72,565.333333333328,524.741333333324,499.629333333331,479.333333333328,459.037333333326,430.141333333333,393.333333333328,284.856749174913,93.7672392788663,475.946259070959,97.3222706171946,667.03576896702,382.1790197921,764.3580395842,473.09333333328,107.513333333249,567.873333333264,460.360000000015,25526.6666666667,24782.6666666667,25710.6666666667,20406.6666666667,,NONE,-393.333333333328,BOS,,NONE,,NONE,,,,,,,,,,,,,,,,280.16409240925,119.956932633213,440.371252185287,40.2502271428093,600.578411961309,320.414319552063,640.828639104125,446.013333333191,107.51333333306,531.766666666575,424.253333333516,25526.6666666667,24782.6666666667,25710.6666666667,20406.6666666667,,NONE,,NONE,,NONE,,NONE,9.75770842836466,427,232.876704461782,0,0,0,0
110.333333333328,52,,,39.3333333333285,4,,,,,,,,,,347.961684836497,528.072245128234,167.851124544759,708.182805419972,12.2594357469789,360.221120583478,720.442241166956,595.193333333373,669.966666666718,221.326666666733,448.639999999985,26170.3333333333,25426.3333333333,26354.3333333333,21050.3333333333,70.3333333333285,BOS,,NONE,,NONE,,NONE,306.333333333328,84,,,393.333333333328,124,,,,,,,,,,347.200471398028,521.148104210835,173.25283858522,695.095737023657,0.69479422760196,347.895265625628,695.790531251257,324.033333333267,504.733333333294,64.5666666666366,440.166666666657,26170.3333333333,25426.3333333333,26354.3333333333,21050.3333333333,89.3333333333285,CHoCH,,NONE,,NONE,,NONE,,,,,,,,,,,,,,,,333.152951526703,459.369118212591,206.936784840815,585.58528489848,80.7206181549263,252.432333371774,504.864666743548,249.899999999892,449.1333333332,64.5666666666366,384.566666666564,26170.3333333333,25426.3333333333,26354.3333333333,21050.3333333333,,NONE,,NONE,,NONE,,NONE,12.0229055412129,192,190.092374539278,0,0,0,0
90,36,28,46,9.5,19,47.5,15,698,530.203999999998,426.398000000001,342.5,258.601999999999,139.153999999995,13,267.919928675168,75.6903141687217,460.149543181615,116.539300337725,652.379157688061,384.4592290129,768.9184580258,120.959999999963,29.493333333332,427.239999999962,456.733333333294,25503,24759,25687,20383,13,BOS,-44,CHoCH,,NONE,,NONE,,,448,122,3.5,3,26.5,3,698,530.203999999998,426.398000000001,342.5,258.601999999999,139.153999999995,13,270.258503173696,79.2799386461702,461.237067701222,111.698625881356,652.215632228748,381.957129055047,763.914258110095,126.333333333256,34.8666666667123,432.613333333269,467.479999999981,25503,24759,25687,20383,13,BOS,-349,CHoCH,,NONE,,NONE,,,523.5,349,,,,,,,,,,,,297.767379553683,131.413618833729,464.121140273637,34.9401418862399,630.474900993606,332.707521439917,665.415042879834,421.866666666509,158.573333333101,604.559999999954,445.986666666853,25503,24759,25687,20383,13,BOS,,NONE,,NONE,,NONE,21.5944194057924,1828,622.134043305105,0,0,0,0
335.166666666672,93,138.833333333328,49,43.6666666666715,6,,,163.333333333328,4.46266666667361,108.26866666667,192.166666666672,276.064666666673,395.512666666677,547.666666666672,261.140779929774,453.341918535531,68.9396413240174,645.543057141302,123.261497281754,384.402277211521,768.804554423042,421.733333333264,563.999999999956,91.9333333332761,472.06666666668,26037.6666666667,25293.6666666667,26221.6666666667,20917.6666666667,3.66666666667152,CHoCH,-62.3333333333285,BOS,,NONE,,NONE,,,104.333333333328,118,,,30.3333333333285,30,163.333333333328,4.46266666667361,108.26866666667,192.166666666672,276.064666666673,395.512666666677,547.666666666672,264.999593189743,447.523742936726,82.4754434427596,630.04789268371,100.048706304224,365.048299493971,730.096598987942,421.733333333177,576.933333333247,104.866666666538,472.066666666709,26037.6666666667,25293.6666666667,26221.6666666667,20917.6666666667,117.666666666672,BOS,-43.3333333333285,CHoCH,,NONE,,NONE,11.1666666666715,349,,,,,,,163.333333333328,4.46266666667361,108.26866666667,192.166666666672,276.064666666673,395.512666666677,547.666666666672,253.076992019516,399.297472647493,106.856511391539,545.517953275485,39.3639692364522,292.440961255964,584.881922511929,117.799999999726,460.533333332831,24.4666666667908,484.999999999622,26037.6666666667,25293.6666666667,26221.6666666667,20917.6666666667,547.666666666672,BOS,,NONE,,NONE,,NONE,20.401634563756,466,515.46618085216,0,0,0,0
,,93,30,,,127.5,15,1221,1022.75999999999,900.119999999995,801,701.880000000005,560.759999999995,381,638.586804272825,304.159994689704,973.013613855946,30.2668148934026,1307.44042343905,668.853619166231,1337.70723833246,749.166666666686,354.633333333375,1215.43333333336,860.799999999988,24850,24106,25034,19730,,NONE,-42,BOS,,NONE,,NONE,,,950,310,,,1218,30,1351,1183.204,1079.398,995.5,911.601999999999,792.153999999995,640,670.658581842683,345.602033332456,995.71513035291,20.5454848222143,1320.77167886315,650.113097020466,1300.22619404093,743.346666666621,464.093333333163,1223.31333333332,759.220000000161,24850,24106,25034,19730,,NONE,-586,BOS,,NONE,,NONE,,,1176.5,349,,,516,140,,,,,,,,641.938737461809,318.458954128844,965.418520794774,5.02082920412067,1288.89830412774,646.959566665935,1293.91913333187,856.793333333233,411.733333333119,1223.3133333333,811.580000000176,24850,24106,25034,19730,,NONE,-640,BOS,,NONE,,NONE,8.40401803255275,1214,673.836664738928,0,0,0,0
149,68,104.5,109,109,12,,,850,555.236000000004,372.881999999998,225.5,78.1180000000022,131.714000000007,399,256.270202500775,580.438619792345,67.8982147907955,904.607037083901,392.066632082351,648.336834583128,1296.67366916626,79.6399999999703,520.95333333328,320.040000000008,840.993333333288,25672,24928,25856,20552,17,BOS,-49,BOS,,NONE,,NONE,820.5,47,128,310,482.5,73,396,30,529,361.203999999998,257.398000000001,173.5,89.601999999999,29.846000000005,182,205.18738429826,541.415267879129,131.040499282608,877.643151459983,467.268382863462,672.455767161724,1344.91153432345,152.479999999938,465.053333333271,389.926666666681,854.979999999952,25672,24928,25856,20552,182,BOS,-180,CHoCH,,NONE,,NONE,,,354.5,349,306,140,,,,,,,,,,217.218279645327,550.972492747562,116.535933456908,884.726705849782,450.290146559128,667.50842620446,1335.01685240892,676.499999999854,777.626666666591,58.9666666668199,836.593333333411,25672,24928,25856,20552,182,BOS,,NONE,,NONE,,NONE,15.1645705645719,1004,1047.84889813008,0,0,0,0
320.833333333328,39,16.1666666666715,57,,,193.166666666672,11,478.666666666672,267.44666666667,136.776666666672,31.1666666666715,74.4433333333291,224.80333333333,416.333333333328,172.329422298353,131.344723876173,476.003568472879,435.018870050684,779.677714647391,607.348292349044,1214.69658469809,279.086666666699,178.879999999946,545.540000000023,724.419999999969,25238.3333333333,24494.3333333333,25422.3333333333,20118.3333333333,7.33333333332848,BOS,-85.6666666666715,CHoCH,,NONE,,NONE,386.833333333328,47,561.666666666672,310,48.8333333333285,73,829.666666666672,30,962.666666666672,794.870666666669,691.064666666673,607.166666666672,523.26866666667,403.820666666667,251.666666666672,227.567043175644,89.4528001802391,544.586886531528,406.472643536123,861.606729887411,634.039686711772,1268.07937342354,281.186666666734,12.9999999999418,759.240000000034,772.239999999976,25238.3333333333,24494.3333333333,25422.3333333333,20118.3333333333,176.333333333328,CHoCH,-197.666666666672,BOS,,NONE,,NONE,,,788.166666666672,349,,,,,,,,,,,,219.089553858241,88.5937341013487,526.77284181783,396.277022060924,834.456129777405,615.36657591917,1230.73315183834,474.246666666833,58.9666666663834,777.626666666751,836.593333333134,25238.3333333333,24494.3333333333,25422.3333333333,20118.3333333333,,NONE,-251.666666666672,BOS,,NONE,,NONE,14.2653580786334,993,925.248837583702,0,0,0,0
200.5,83,53,68,116,60,114.5,27,283,71.7799999999988,58.8899999999994,164.5,270.110000000001,420.470000000001,612,27.8606677798525,324.655588163907,268.934252604202,621.450508547961,565.729172988256,593.58984076811,1187.17968153622,91.7466666666878,366.219999999914,324.893333333341,691.113333333255,25434,24690,25618,20314,27,BOS,-29,BOS,,NONE,,NONE,582.5,47,366,310,244.5,73,634,30,767,599.203999999998,495.398000000001,411.5,327.601999999999,208.153999999995,56,28.7211711067357,286.801388974083,344.243731187555,602.323949054902,659.766291268374,631.045120161633,1262.09024032327,85.5200000000623,364.953333333266,416.480000000069,781.433333333334,25434,24690,25618,20314,372,CHoCH,-2,BOS,,NONE,,NONE,,,592.5,349,,,,,,,,,,,,23.4228871915693,284.26040076802,331.106175151159,591.943688727595,638.789463110734,615.36657591917,1230.73315183834,278.580000000162,254.633333333055,581.960000000079,836.593333333134,25434,24690,25618,20314,,NONE,-56,BOS,,NONE,,NONE,17.2770232011251,11344,3631.48650073269,0,0,0,0
157.5,83,196,50,73,60,157.5,27,326,114.779999999999,15.8899999999994,121.5,227.110000000001,377.470000000001,569,15.818473721738,277.155448374528,308.792395818004,570.129370470808,601.766317914284,585.947844192546,1171.89568838509,134.746666666688,323.219999999914,351.24000000002,674.459999999934,25391,24647,25575,20271,67,CHoCH,-16,BOS,,NONE,,NONE,539.5,47,409,310,201.5,73,677,30,810,642.203999999998,538.398000000001,454.5,370.601999999999,251.153999999995,99,68.1137248746236,238.897008517321,375.124458266568,545.907741909279,682.135191658526,614.021466783897,1228.04293356779,128.520000000062,321.953333333266,431.900000000081,753.853333333347,25391,24647,25575,20271,329,CHoCH,-45,BOS,,NONE,,NONE,,,635.5,349,299.5,59,,,,,,,,,,58.9522448914649,228.142041658677,346.046531441607,515.236328208819,633.140817991749,574.188573100286,1148.37714620057,137.713333333581,266.793333333248,477.866666666756,744.660000000003,25391,24647,25575,20271,,NONE,-99,BOS,,NONE,,NONE,17.1858072581876,2950,3495.18920058615,0,0,0,0
83.3333333333285,20,88.6666666666715,50,17.3333333333285,6,50.1666666666715,27,146.333333333328,104.561333333331,78.7193333333271,57.8333333333285,36.9473333333299,7.21133333332546,30.6666666666715,96.8211471847026,388.120264323472,194.477969954067,679.419381462241,485.777087092836,582.598234277545,1165.19646855509,55.8533333330561,463.859999999971,210.600000000064,674.460000000036,25498.3333333333,24754.3333333333,25682.3333333333,20378.3333333333,9.33333333332848,CHoCH,-4.66666666667152,BOS,,NONE,,NONE,646.833333333328,47,301.666666666672,310,160.333333333328,28,569.666666666672,30,676.333333333328,350.889333333325,149.555333333323,13.1666666666715,175.888666666666,407.560666666672,702.666666666672,39.8588700920809,342.717432479185,262.999692295023,645.575994866304,565.858254682142,605.717124774222,1211.43424954844,21.1866666667338,429.286666666594,306.180000000095,735.466666666689,25498.3333333333,24754.3333333333,25682.3333333333,20378.3333333333,8.33333333332848,BOS,-353.666666666672,CHoCH,,NONE,,NONE,,,528.166666666672,349,325.833333333328,39,,,,,,,,,,48.5874508090492,331.769695510084,234.594793891985,614.951940211104,517.777038593005,566.364489402056,1132.72897880411,11.9933333335939,374.126666666576,361.340000000098,735.466666666674,25498.3333333333,24754.3333333333,25682.3333333333,20378.3333333333,8.33333333332848,BOS,,NONE,,NONE,,NONE,5.80026961040453,348,149.945591177698,0,0,0,0
